store_id,zone,state,city,pincode,p1DC,status,format
TA9T,West,Maharashtra,Mumbai,400706,R696,OPERATIONAL,Digital
7509,South 2,Tamil Nadu,Chennai,600026,SJ99,OPERATIONAL,DIGITAL EXPRESS MINI
9131,South 2,Telangana,Hyderabad,500034,SE40,OPERATIONAL,Digital
TDW7,North 1,Delhi NCR,Delhi,201012,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
TZ98,East,West Bengal,Kolkata,743144,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
6867,North 1,Haryana,Jhajjar,124103,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
TEG7,North 1,Delhi NCR,Delhi,110058,SJ93,OPERATIONAL,Digital
7668,South 2,Tamil Nadu,Chennai,600088,SJ99,OPERATIONAL,DIGITAL EXPRESS MINI
7674,West 1,Maharashtra,Nashik,422005,R696,OPERATIONAL,DIGITAL EXPRESS MINI
3785,South 2,Kerala,Tellicherry,670001,SD78,OPERATIONAL,DIGITAL EXPRESS MINI
3514,North 2,Uttar Pradesh,Etawah,206001,SC28,OPERATIONAL,DIGITAL EXPRESS MINI
TXWA,South 3,Tamil Nadu,Chennai,600050,SJ99,OPERATIONAL,Digital
TI55,South 2,Telangana,Hyderabad,500049,SE40,OPERATIONAL,Digital
TQ27,North 2,Bihar,Darbhanga,846004,R394,OPERATIONAL,Digital
9135,West,Maharashtra,Mumbai,421201,R696,OPERATIONAL,Digital
7526,East,West Bengal,Kolkata,700032,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
7501,West 1,Maharashtra,Mumbai,400014,R696,OPERATIONAL,DIGITAL EXPRESS MINI
6740,South 1,Andhra Pradesh,Kurnool,518003,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
TR12,South 2,Telangana,Hyderabad,500083,SE40,OPERATIONAL,Digital
6114,West 2,Madhya Pradesh,Nagda,456331,S0GZ,OPERATIONAL,DIGITAL EXPRESS MINI
8893,South 1,Karnataka,Bangalore,560086,R396,OPERATIONAL,Digital
3732,North 2,Uttar Pradesh,Jahangirabad,203001,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
TY51,North 2,Uttarakhand,Rudrapur,263153,SLOR,OPERATIONAL,DIGITAL EXPRESS MINI
7825,East,West Bengal,Siliguri,734001,SLLN,OPERATIONAL,DIGITAL EXPRESS MINI
9633,South 2,Tamil Nadu,Panruti,607106,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
6525,West 1,Maharashtra,Ichalkaranji,416115,V014,OPERATIONAL,DIGITAL EXPRESS MINI
7465,West 2,Rajasthan,Ajmer,305003,R810,OPERATIONAL,DIGITAL EXPRESS MINI
7733,West 1,Maharashtra,Nanded,431602,SE40,OPERATIONAL,DIGITAL EXPRESS MINI
3612,South 1,Karnataka,Chikmagalur,577101,R396,OPERATIONAL,DIGITAL EXPRESS MINI
3528,West 2,Gujarat,Ahmedabad,380015,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
