similargrouplevel,cluster_id,store_id
421001002,3,TOQ1
421001002,3,TSU7
421001002,3,F1II
421001002,3,TLJ0
421001002,3,TJC6
421001002,3,TANZ
421001002,3,T846
421001002,3,TWQS
421001002,3,TV19
421001002,3,TQE8
421001002,3,TJV1
421001002,3,TX3P
421001002,3,TLG9
421001002,3,FRG6
421001002,3,TTA9
421001002,3,F1FH
421001002,3,TX6D
421001002,3,TSJ8
421001002,3,TAQP
421001002,3,T32Q
421001002,3,TKZ1
421001002,3,TGW2
421001002,3,TGL9
421001002,3,TAJK
421001002,3,T660
421001002,3,TWPA
421001002,3,TPU8
421001002,3,FR2X
421001002,3,TDT1
421001002,3,TY57
421001002,3,TAT7
421001002,3,TX6V
421001002,3,TJU1
421001002,3,TWUU
421001002,3,FR3E
421001002,3,TWUV
421001002,3,TFC0
421001002,3,T86D
421001002,3,TKC9
421001002,3,TAVA
421001002,3,TJC3
421001002,3,TLM7
421001002,3,T28R
421001002,3,TWWM
421001002,3,TTB7
421001002,3,TS17
421001002,3,T559
421001002,3,TAK7
421001002,3,TZ57
421001002,3,TI08
421001002,3,TTC4
421001002,3,TP09
421001002,3,TSU9
421001002,3,TWWP
421001002,3,TA8K
421001002,3,TGH9
421001002,3,TFV4
421001002,3,TSL1
421001002,3,TZTV
421001002,3,TZ82
421001002,3,TTO6
421001002,3,TSX9
421001002,3,TWVH
421001002,3,TA8I
421001002,3,T73O
421001002,3,TME0
421001002,3,T2VM
421001002,3,TKB8
421001002,3,FR1V
421001002,3,TGZ8
421001002,3,TTC0
421001002,3,TKU0
421001002,3,TSK6
421001002,3,T195
421001002,3,TWTJ
421001002,3,TU77
421001002,3,TMJ5
421001002,3,TY6K
421001002,3,TU28
421001002,3,TSW5
421001002,3,TAG8
421001002,3,TL04
421001002,3,T152
421001002,3,TJH3
421001002,3,TJH2
421001002,3,TTD0
421001002,3,TWQF
421001002,3,TWOY
421001002,3,TPW3
421001002,3,TH49
421001002,3,8052
421001002,3,TTS1
421001002,3,TWWE
421001002,3,TPI2
421001002,3,TEA9
421001002,3,TPH6
421001002,3,TJD9
421001002,3,FRZ4
421001002,3,TSN6
421001002,3,TAMU
421001002,3,TAQI
421001002,3,T9CF
421001002,3,TX1J
421001002,3,TWTF
421001002,3,TAJD
421001002,3,TTD7
421001002,3,TZD8
421001002,3,FR1A
421001002,3,TFV6
421001002,3,TDO9
421001002,3,TSU2
421001002,3,TZTP
421001002,3,TWUM
421001002,3,T1BW
421001002,3,T198
421001002,3,TZE1
421001002,3,TW66
421001002,3,T35I
421001002,3,T9MK
421001002,3,TTC3
421001002,3,TDE0
421001002,3,TSU4
421001002,3,TMJ2
421001002,3,F1TH
421001002,3,5857
421001002,3,TJM7
421001002,3,TWVO
421001002,3,5820
421001002,3,TSU0
421001002,3,TK50
421001002,3,TGW3
421001002,3,TEQ4
421001002,3,TCJ7
421001002,3,TWVA
421001002,3,TOF2
421001002,3,8324
421001002,3,TSU8
421001002,3,T62K
421001002,3,TGD1
421001002,3,TWWQ
421001002,3,TTA0
421001002,3,TLA8
421001002,3,TAG7
421001002,3,TKY9
421001002,3,FRZA
421001002,3,TSY8
421001002,3,TR94
421001002,3,TAWC
421001002,3,TAMA
421001002,3,F1RG
421001002,3,TWUZ
421001002,3,T89C
421001002,3,TZD9
421001002,3,TWWH
421001002,3,FRZ5
421001002,3,TZA6
421001002,3,TGD6
421001002,3,TSW0
421001002,3,TSM9
421001002,3,1903
421001002,3,TJD2
421001002,3,TAJJ
421001002,3,T18F
421001002,3,TWTZ
421001002,3,TSX0
421001002,3,TLZ9
421001002,3,TFR4
421001002,3,TDU0
421001002,3,TWRY
421001002,3,TAJC
421001002,4,5885
421001002,4,TWTA
421001002,4,TIR5
421001002,4,TH26
421001002,4,TAIY
421001002,4,TSN5
421001002,4,TJY3
421001002,4,TGV4
421001002,4,TWWD
421001002,4,TDZ3
421001002,4,5787
421001002,4,TO07
421001002,4,TWTB
421001002,4,TDN3
421001002,4,TXV4
421001002,4,TX4Q
421001002,4,TX41
421001002,4,TWUQ
421001002,4,TTB8
421001002,4,TCV8
421001002,4,T173
421001002,4,TSY5
421001002,4,TLU5
421001002,4,TKZ2
421001002,4,TLA4
421001002,4,TAZZ
421001002,4,TPK7
421001002,4,TX5Y
421001002,4,TDW1
421001002,4,TKY5
421001002,4,TS13
421001002,4,TAN3
421001002,4,T91F
421001002,4,TX6I
421001002,4,TCV1
421001002,4,TTL0
421001002,4,TEA6
421001002,4,TLG6
421001002,4,TXYH
421001002,4,TX4U
421001002,4,T9OC
421001002,4,T33V
421001002,4,TTY1
421001002,4,TKC5
421001002,4,TJJ6
421001002,4,TCE8
421001002,4,TFZ2
421001002,4,TTX6
421001002,4,TTD4
421001002,4,TOY4
421001002,4,TJQ3
421001002,4,TATC
421001002,4,TY52
421001002,4,T49Q
421001002,4,1912
421001002,4,TKD8
421001002,4,TGJ2
421001002,4,TZ59
421001002,4,TX7L
421001002,4,TN60
421001002,4,TWPP
421001002,4,TSV9
421001002,4,TL35
421001002,4,TY32
421001002,4,TSK2
421001002,4,TKH6
421001002,4,TJK9
421001002,4,T9HE
421001002,4,TX6Y
421001002,4,TX3X
421001002,4,TIQ8
421001002,4,TSP4
421001002,4,TFR2
421001002,4,TSY6
421001002,4,TAIZ
421001002,4,TSY4
421001002,4,TJC2
421001002,4,THA4
421001002,4,T587
421001002,4,TX1O
421001002,4,TLH4
421001002,4,TWWF
421001002,4,TIY0
421001002,4,TXZE
421001002,4,TIQ7
421001002,4,TWUC
421001002,4,TX6C
421001002,4,TST0
421001002,4,TD08
421001002,4,TSL0
421001002,4,TJE3
421001002,4,TNP2
421001002,4,TJG1
421001002,4,TGL8
421001002,4,TTK8
421001002,4,TXUC
421001002,4,TWUG
421001002,4,TFU7
421001002,4,TKZ4
421001002,4,TAFZ
421001002,4,TME2
421001002,4,TKC6
421001002,4,TSP2
421001002,4,TJZ2
421001002,4,TLA6
421001002,4,TG66
421001002,4,TZTW
421001002,4,TKN8
421001002,4,T1HQ
421001002,4,TZ89
421001002,4,TZ93
421001002,4,TAFY
421001002,4,TWUT
421001002,4,TSO7
421001002,4,TSO2
